
Final Solution Fields: 

         I            y          y+n               Velocity      total viscosity        turb vis            UG12   
        32    0.4427405E-02    0.9355834E+02    0.3040275E+00    0.3414479E-01    0.3314479E-01    0.8861281E+01
        33    0.5316290E-02    0.1123359E+03    0.3119042E+00    0.4041792E-01    0.3941793E-01    0.7126045E+01
        34    0.6382952E-02    0.1348690E+03    0.3195053E+00    0.4725927E-01    0.4625927E-01    0.5725142E+01
        35    0.7662947E-02    0.1619088E+03    0.3268334E+00    0.5457824E-01    0.5357824E-01    0.4573606E+01
        36    0.9198941E-02    0.1943565E+03    0.3338585E+00    0.6213140E-01    0.6113140E-01    0.3613076E+01
        37    0.1104213E-01    0.2332937E+03    0.3405181E+00    0.6935097E-01    0.6835096E-01    0.2802036E+01
        38    0.1325397E-01    0.2800183E+03    0.3467157E+00    0.7505397E-01    0.7405397E-01    0.2106892E+01
        39    0.1590816E-01    0.3360880E+03    0.3523078E+00    0.7670593E-01    0.7570592E-01    0.1495291E+01
        40    0.1909320E-01    0.4033715E+03    0.3570704E+00    0.6804875E-01    0.6704874E-01    0.9196036E+00
        41    0.2291525E-01    0.4841117E+03    0.3605851E+00    0.2417802E-02    0.1417802E-02    0.1469565E-01
        42    0.2708475E-01    0.4029190E+03    0.3606464E+00    0.6803683E-01    0.6703683E-01   -0.9187303E+00
        43    0.3090680E-01    0.3357110E+03    0.3571350E+00    0.7669505E-01    0.7569505E-01   -0.1494571E+01
        44    0.3409183E-01    0.2797043E+03    0.3523747E+00    0.7504408E-01    0.7404408E-01   -0.2106206E+01
        45    0.3674603E-01    0.2330320E+03    0.3467844E+00    0.6934132E-01    0.6834132E-01   -0.2801389E+01
        46    0.3895786E-01    0.1941385E+03    0.3405882E+00    0.6212304E-01    0.6112304E-01   -0.3612396E+01
        47    0.4080106E-01    0.1617272E+03    0.3339299E+00    0.5457088E-01    0.5357089E-01   -0.4572926E+01
        48    0.4233705E-01    0.1347178E+03    0.3269059E+00    0.4725277E-01    0.4625277E-01   -0.5724397E+01
        49    0.4361705E-01    0.1122099E+03    0.3195787E+00    0.4040895E-01    0.3940895E-01   -0.7125876E+01
        50    0.4468371E-01    0.9345340E+02    0.3119778E+00    0.3413501E-01    0.3313501E-01   -0.8861679E+01
        51    0.4557259E-01    0.7782294E+02    0.3041008E+00    0.2846209E-01    0.2746209E-01   -0.1105388E+02
        52    0.4631333E-01    0.6479757E+02    0.2959127E+00    0.2340231E-01    0.2240231E-01   -0.1387549E+02
        53    0.4693062E-01    0.5394306E+02    0.2873476E+00    0.1896402E-01    0.1796402E-01   -0.1756670E+02
        54    0.4744502E-01    0.4489771E+02    0.2783113E+00    0.1514731E-01    0.1414731E-01   -0.2245620E+02
        55    0.4787368E-01    0.3735986E+02    0.2686850E+00    0.1193600E-01    0.1093600E-01   -0.2898793E+02
        56    0.4823091E-01    0.3107833E+02    0.2583299E+00    0.9294168E-02    0.8294168E-02   -0.3775191E+02
        57    0.4852860E-01    0.2584373E+02    0.2470917E+00    0.7168453E-02    0.6168453E-02   -0.4951204E+02
        58    0.4877666E-01    0.2148159E+02    0.2348092E+00    0.5494329E-02    0.4494329E-02   -0.6521566E+02
        59    0.4898339E-01    0.1784644E+02    0.2213274E+00    0.4201981E-02    0.3201981E-02   -0.8594334E+02
        60    0.4915566E-01    0.1481715E+02    0.2065217E+00    0.3223841E-02    0.2223840E-02   -0.1127496E+03
        61    0.4929923E-01    0.1229277E+02    0.1903355E+00    0.2498296E-02    0.1498296E-02   -0.1462732E+03
        62    0.4941886E-01    0.1018912E+02    0.1728365E+00    0.1972542E-02    0.9725416E-03   -0.1860867E+03
        63    0.4951855E-01    0.8436041E+01    0.1542847E+00    0.1602879E-02    0.6028788E-03   -0.2298606E+03
        64    0.4960163E-01    0.6975151E+01    0.1351880E+00    0.1353713E-02    0.3537129E-03   -0.2729924E+03
        65    0.4967086E-01    0.5757742E+01    0.1162880E+00    0.1195374E-02    0.1953743E-03   -0.3099711E+03
        66    0.4972856E-01    0.4743247E+01    0.9840464E-01    0.1101739E-02    0.1017389E-03   -0.3370078E+03
        67    0.4977664E-01    0.3897798E+01    0.8220178E-01    0.1050372E-02    0.5037165E-04   -0.3540801E+03
        68    0.4981670E-01    0.3193293E+01    0.6801538E-01    0.1023965E-02    0.2396477E-04   -0.3637992E+03
        69    0.4985009E-01    0.2606170E+01    0.5586889E-01    0.1011032E-02    0.1103209E-04   -0.3688826E+03
        70    0.4987791E-01    0.2116901E+01    0.4560503E-01    0.1004930E-02    0.4930431E-05   -0.3714998E+03
        71    0.4990110E-01    0.1709200E+01    0.3699135E-01    0.1002137E-02    0.2136885E-05   -0.3728148E+03
        72    0.4992042E-01    0.1369450E+01    0.2978812E-01    0.1000894E-02    0.8943813E-06   -0.3735768E+03
        73    0.4993652E-01    0.1086336E+01    0.2377327E-01    0.1000359E-02    0.3586094E-06   -0.3740485E+03
        74    0.4994994E-01    0.8504208E+00    0.1875480E-01    0.1000136E-02    0.1360479E-06   -0.3743249E+03
        75    0.4996112E-01    0.6537763E+00    0.1456930E-01    0.1000048E-02    0.4789924E-07   -0.3743734E+03
        76    0.4997044E-01    0.4899179E+00    0.1108058E-01    0.1000015E-02    0.1521575E-07   -0.3746772E+03
        77    0.4997820E-01    0.3533692E+00    0.8171076E-02    0.1000004E-02    0.4138597E-08   -0.3744816E+03
        78    0.4998467E-01    0.2395907E+00    0.5747870E-02    0.1000001E-02    0.8796223E-09   -0.3749161E+03
        79    0.4999007E-01    0.1447632E+00    0.3726188E-02    0.1000000E-02    0.1176105E-09   -0.3747052E+03
        80    0.4999456E-01    0.6571630E-01    0.2042052E-02    0.1000000E-02    0.5015979E-11   -0.3751083E+03
        81    0.4999831E-01    0.0000000E+00    0.6369788E-03    0.1000000E-02    0.0000000E+00   -0.3741525E+03

friction velocity (bottom wall): 0.1936450E-01
friction velocity (top wall): 0.1934302E-01
